,text
1238,freshly vaccinated 
1239,tonight actionnewsjax 5ll tell difference vax 
1240,vaccination time 
1241,moderna_tx testing new variant 
1242,proud part mass vaccination programme covid 19 tgccg 
1243,come canscan 
1244,people would focusing biceps ab photo trend receiving 
1245,huge thank everyone working hard mkhospital centre amazing al 
1246,pattyhajdu govcanhealth vaccinate risk liability amp untested fearmongering amp medium bu 
1247,would trust amp obey gov msm lied 9 month 100 year every day 
1248,approved herewhat need know 
1249,pfizer thatgood news 
1250,assassinated weapon crime covid vaccine 
1251,pm say additional quarter ofmillion pfizer vaccine dos way 
1252,pm say additional quarter ofmillion pfizer vaccine dos way 
1253,affected country arabian peninsula saudi arabia approved u german vaccine 
1254,jab canyour question answered 
1255,jab canyour question answered 
1256,feeling incredibly received 
1257,health canada recommends ppl recovered still get either 
1258,canget vaccine dubai gt zabeel primary health centre gt al mizhar primary health ce 
1259,pfizer biontech add 100 million dos good news 
1260,40 million dose order vaccine arriving coming day say justintrudeau 
1261,firefoxx66 mrna vaccine much easy adjusted based dominant variant spike protein remai 
1262,exclusive 
1263,year tough islight end tunnel itarrived hearte 
1264,vaccine logistical difficult pharmacy must kept inspecialized 
1265,one week receiving covid 19 vaccine full hope beginning 
1266,one vaccine side effect free vaccine deliver reactogenic side effect 
1267,1st covid vaccine dose dr vijay reddy zsmu alumnus 
1268,buy another 100 million dos 
1269,one week receiving covid 19 vaccine full hope beginning 
1270,first recipient share experience happy settingprecedent say 
1271,excited saygot first dose vaccine last nightm relieved another fo 
1272,herehow newly authorized moderna covid 19 vaccine compare pfizer 
1273,thread roll amp howyour state district ter 
1274,thankful chance get vaccine body armor fo 
1275,code look people experimental want beguinea pi 
1276,pfizer supply thes additional 100 million dos covid 19 vaccine undernew agreement 
1277,identify investigate negotiate struggle neighbour reveals speedily gained 
1278,cherokee nation leader said last week least 20 fluent cherokee language speaker died year 
1279,buy another 100 million dos 
1280,approved developed american biotech firm health depar 
1281,jorge alcocer secretary health show tracking ticket arrival first batch 
1282,doctorsforbiden human got invite today amp scheduled get 
1283,best christmas gift ever news worker 95 year old grandmotherretirement home receiving 
1284,approved people 18 year age old 16yo u 
1285,happy moment 2020 wife texting shebeen vaccinated covid 
1286,stage 1 2 complete brooklyn new york 
1287,excellent read 
1288,jab canyour question answered 
1289,dubai begin inoculation pfizer biontech vaccine today 
1290,purchase additional 100m dos 
1291,number coronavirus infection rise 78 425 044 worldwide 
1292,tomhfh lead banned part 
1293,lead incl banned part 
1294,well known vaccinologist busted someone please get answer government 
1295,pfizer vaccine requiressecond dose effective administered aboutmonth first 
1296,allwant christmas share 
1297,breaking thes set receive additional dos undernew deal 
1298,dubai announced resident getshot vaccine free starting wednes 
1299,dr marc siegel receives covid 19 vaccine live nyu langone hospital 
1300,10downingstreet borisjohnson pfizer biontech_group tremendous achievement parent among j 
1301,aliciakearns feeling happy parent received first today thanks 
1302,drkayvanmirhadi iranian using hashtag mean buy vaccine itone sad h 
1303,pfizer biontech reachedsecond agreement federal government supply 100 million 
1304,tomhfh saying banned something 
1305,officially team 
1306,european union drug regulator approves pfizer biontech covid vaccine emergency use 
1307,dubaidha_dubai start injecting vaccine today first person receive mr 
1308,late vaccine initially rolled people 60 frontline worker 
1309,launch vaccination campaign vaccine administered free cha 
1310,government would negotiate increase supply 12 8 million dos 2 
1311,eu state start vaccination dec 27 commentary around europe translated english fo 
1312,term want announce must respect deal khairykj 
1313,pfizer biontech vaccine become first covid 19 shot win approval eu medicine regulator cle 
1314,khairykj said rm3 billion allocation approved government purchase 
1315,evanhd krishgm non resident non taxpayer uk among first 
1316,although vaccine free eligibility criterion panned first batch pfizer shot 
1317,day first dose ofspoke soon dull achey sore arm deltoid definitely today 
1318,plan beginfree inoculation campaign wednesday 23 december employing vaccine candidate deve 
1319,government announced start ofcampaign vaccine 
1320,government announced start ofcampaign vaccine 
1321,cheap safe cure 
1322,uae made ittrust itnot made 
1323,aschef ifam responsible forcustomerdeath due food poisoning anaphylaxiswill go jail 
1324,skycargo transport first batch vaccine health authority 
1325,number coronavirus infection rise 78 425 044 worldwide 
1326,initially available 60 frontline worker age gr 
1327,begin inoculation vaccine wednesday vía reuters 
1328,interview ugur sahin german 
1329,supreme committee crisis disaster management start covid 19 campaign 
1330,afp afpfr much pay ad 
1331,dr abdullah al kubaisiformer director qatar university became first person receive vacc 
1332,bookjab book appointment dubai resident must provide dha_dubai medical record numbe 
1333,long immunity last ithard say point say thatminimum six month would b 
1334,effective vaccine 95 isvery healthy number world health organisation said 
1335,dubaifree drive second voluntary vaccine rollout country 
1336,dubaifree drive mrna vaccine developed u pharmaceutical company 
1337,dubai rolling virus starting today herewhat know far 
1338,mutation1 1 7 70 contagious omg gon na die get line vaxx shot 
1339,late blog post bill gate say good news coming 2021 citing stunning scientific advance 
1340,95 effective pfizer vaccine rolled dubai resident starting today free cost 
1341,breaking dubai begin pfizer vaccine resident free charge today 
1342,pfizer right like 
1343,adriandix jjhorgan gentleman elected leader read train wreck serious severe side ef 
1344,jkenneywould like able choose vaccinewould get 
1345,1st dose ampam grateful month ahead saskhealth offer everyone 
1346,joe biden receives first dose pfizer covid 19 vaccine billhemmer hemmerreports 
1347,hsajwanizationbet vying get front line get turkish scientist invented vac 
1348,family friend pretty much everyone around love isverb 
1349,super grateful receivecovid 19 vaccination today keeping patient safe 
1350,got hope everyone mayopccm mayoclinic 
1351,boom right delt grateful given opportunity rwjuh rwjmsneuro rwjbarnabas 1 2 
1352,great chat truth myth dr_shaps 
1353,444 new case additional 12 death fortotal 777 death linked pandemic 4 108 peo 
1354,vaccine review interim report vaccine efficacy 
1355,meggg_e take 
1356,live update pfizer trump administration nearingdeal additional vaccine dos multiple author 
1357,welcoming first vaccine amp today thank 
1358,happy join rank covid vaccine part 1 done thank 
1359,wasreal pleasure volunteer post night shift royalfreenhs consent patient staff key worker 
1360,profdfrancis p_openshaw rkhamis rallamee drshaisen ricardopetraco imperialnhli whenheard yesterday wer 
1361,wellthink itclear havewinner healthcare worker administering reali 
1362,fase 3 
1363,helpmybreathing pfizer bealelab drsimonashworth mark_toshner confirm felt got first dose 
1364,helpmybreathing pfizer bealelab drsimonashworth mark_toshner looking forward reporting whenvaccinat 
1365,reutersuk waiting lead incl 
1366,martindaubney mfogarty__ guyverhofstadtthink sexy european name 
1367,nears deal provide vaccine dos 
1368,yaygot covid 19 vaccine ummc andam feeling fine ummcnews rtandon3 martinmccandle3 fasserotweet 
1369,tremendous effort forbetter mankind pfizer 
1370,christmas hit allwant christmas mariahcarey 1994 
1371,clinic underway administered kalamazoo county right 
1372,protecting high risk realdonaldtrump bull shit true 16 yo grocery worker 
1373,get first ahead free drive dxbmediaoffice 
1374,italian medicine agency aifa_ufficiale general manager nicola appears emotional announcing 
1375,realdonaldtrump vaccine held warehouse 
1376,breaking uae ministry health amp prevention confirms emergency registration vaccine uae wam 
1377,justintrudeau cpho_canada pattyhajdu billblair dleblancnb want christmas mol 
1378,question everyone asked experiencewill getting 2nd dose andwork 
1379,3 hour since first side effect noted thus far widely descri 
1380,according dxbmediaoffice pfizer biontech vaccine soon available free charge 
1381,dubaisupreme committee crisis disaster management say extensive inoculation campaign 
1382,breaking approved use vaccine government start extensive inocu 
1383,news alert approved 2nd vaccine roll public free charge starting wednesday 
1384,eu_commission approved pfizer biontech covid 19 vaccine hour european medicine agency ema ga 
1385,coronavirus start using vaccine via thenationalnews 
1386,mutated coronavirus strain known vui 202012 01 lineage1 1 7 sent pharma company back la 
1387,dose 1 complete quote glass enter harborviewmc whensee quote 
1388,bostonchildrens finally light end tunnel 
1389,begin testing covid 19 vaccine new 
1390,week first dos vaccine administered wolfson_med member 
1391,massive announcement free pfizer vaccine part ofvaccination drive starting tomorrow 
1392,groundbreaking research wang nianshuangchinese scientist working dr jason mclellanlab ut au 
1393,dubai emergency crisis disaster committee confirm launch vaccine campaign fo 
1394,country region approved vaccine 1 2 3 4 5 6 7 8 9 10 11 12 
1395,breaking italian medicine agency approves use vaccine foll 
1396,chose get vaccinated today get 
1397,vaccine part 1 done imperialnhs 
1398,everyone one thinking side effect covid 19 vaccine read 
1399,convince people trust lettalk 
1400,covid 19 vaccination first task done 
1401,todayhad 1st dose covid19 vaccine thank martin amp danny making feel ease de 
1402,spending afternoon volunteering prescribe vaccine mkhospital following vaccin 
1403,covid jab likely protect new variant 
1404,abscbnnews roll pandemic hero vaccine roll 
1405,nice article explaining howrna vaccine work 
1406,sat withfresh cup coffee socould witness receive vaccine live lik 
1407,teammate vaccinate together stay together 
1408,ita two dose vaccine givelarger number people one shot orsmaller group two shot 
1409,vaccination already started three residential care centre 96 year old jos herman wa 
1410,itsimple mere fact boss say producenew vaccine variant onl 
1411,received covid 19 vaccine feelsbit exciting historic 
1412,first vaccination begun administered nursing home across u 
1413,level playing field eu alexanderdecroo sciensano 
1414,important addition vaccine many wondering ho 
1415,freezer arrive first start dec 27 
1416,approved usage vaccine novel within 
1417,federer_78 darkinrosie flyingste slightlyatsea yeah especially considering got 800k va 
1418,
1419,got vaccinated hurraah 
1420,great hear north shield primary care network pcn director dr dave tomson speaking team effort involved 
1421,news24 fin24 public outcry stop lying one want 
1422,congratulation john amazing photo north shield second site go live 
1423,highly doubt cancontrolwith 
1424,scared worried new vaccine 
1425,grateful amp proud get first two covid 19 vaccine dos socan minimise risk patientssee 
1426,barring economics knowledge health system externality futurestill recommend send right signa 
1427,set make 13b 2021 vaccine able follow lucrative footstep 
1428,check excellent resource vaccine amp immunity idsainfo real time information 
1429,watch mutation beating possible six week pfizer biontech 
1430,neither produced experimental vaccine unsafe amp safety data 
1431,bbcnews bbcbreaking bbcworld skynews skynewsbreak cnn foxnews lbcnews 
1432,may eligible covid vaccine butcan ensure family stay safe herelooking tobetter 2 
1433,take soon asam expect usual reaction fever tiredn 
1434,nurse atchattanooga hospital tennessee united state fainted atpress conference receiving pfi 
1435,wonderful speaking one first people uk received 
1436,nathankg say producenew vaccine mutant 6weeks unbelievable thatvirus ha 
1437,eu approves covid 19 vaccine read 
1438,yesterday eumedicines agency approved however withpopulation 450 
1439,uff breath guy ugur sahin bos biontech man behind vaccine read 
1440,dose 1 vaccine one go posing risk vulnerable patient others late j 
1441,european commission approves use covid 19 vaccine eu 
1442,next day nigerian patient injected 
1443,u president elect joebiden received first dose vaccine duringtelevised eve 
1444,approved state 
1445,vaccine first batch given elderly chronic condition amp medical staff fr 
1446,health eu pave way campaign 
1447,biontech_group ceo say could providenew mimic significant within 6 week 
1448,chief executive said monday confidentco developed w 
1449,startedmassive vaccination campaign novel minister health 
1450,singapore become asiafirst country receive delivery vaccine monday dece 
1451,receives asiafirst shipment covid 19 vaccine 21 decweek prior 
1452,ifeeling dizzy u nurse faint getting pfizer covid vaccine shotnurse attennessee hospita 
1453,founder biotechnology company ugur sahin said vaccine effective new mu 
1454,well folksve first dose pfizer_uk biontech_group vaccine sunday good side eff 
1455,interesting tendency american usually calling pfizer european biontech vaccine 
1456,thes began administering vaccinesweek ago approved jab developed moderna 
1457,u president elect publicly receives first course 
1458,science technology innovation minister inseries tweet said would holdpress confere 
1459,absence data led regulator exclude breastfeeding woman 
1460,eu hasvaccine roll hundred million careful regulator review 
1461,president elect received first dose vaccine monday 
1462,something pretty cool happened today 
1463,first decline federal funding first receive eua pfizer biontech covid 19 vaccine dev 
1464,president elect joebiden received first dose live television mon 
1465,day3 far good 
1466,pfizer bion vaccine hospital almostweek 250 000 people received vaccination p 
1467,singapore get asiafirst pfizer biontech coronavirus vaccine dos 
1468,pfizer biontech vaccine fda eua course usual question well whatin vaccine 
1469,finally gave green light monday paving way 
1470,gearing start mass vaccination christmas following app 
1471,europe approves pfizer biontech coronavirus vaccine source 
1472,show band aid believe science thank researcher make possible hcw care patien 
1473,govrondesantis getvaccine every last citizen get one 
1474,president elect joebiden receives covid 19 
1475,head warning britain anyone history 
1476,u president elect joe biden receives first dose pfizer biontech coronavirus vaccine 
1477,real news tiffanydover old pic sold new oneswas fb account canceled todayisn 
1478,even inbad moodwant fuck 
1479,first shipment coronavirus covid 19 vaccine manufactured pfizer biontech arrived 
1480,todayjoined thousand people across receiving thanks 
1481,u president elect joebiden received first course vaccine christianacare hospita 
1482,president elect joe biden got vaccinated live television joebiden received first dose 
1483,dose 1 covid vaccine complete thank president trump mind behind operation warp speed r 
1484,status vaccine india 
1485,nurse practitioner christianacare hospital delaware administered first dose vaccine produced 
1486,kat1124 waiting niaid get dos didnwant cut linewonder since helped run 
1487,interesting read thought polyethylene glycol cause anaphylaxis receiving 
1488,shahm80071092 far vaccine work 
1489,got vaccine todaym feeling fine early christmas present andm hoping w 
1490,got vaccine 
1491,stop taking picture giving vaccine start giving widely 
1492,lin_manuel wrotem throwing away shot 
1493,noor hisham say take 90 120 day malaysia vet pfizer vaccine people dying malaysia slow as 
1494,want ask world health organization isnit strange findnew strain evolution 
1495,vaccine changed u lucky never seen real life old generation r 
1496,chinasinovac covid 19 vaccine prof effective brazil trial wsj 
1497,tookselfie covid 19 vaccine arrived el centro california immediate 
1498,thank 
1499,upresident elect joe biden 1st shot two shot 
1500,getting shot wednesday 11 45 follow 3 week late thank ifhadrequest f 
1501,aside also name proposed 
1502,
1503,covid u president elect joe biden get vaccine live tv 
1504,given question regarding allergic reactionsam happy see 
1505,led led say 
1506,december 21 2020 information covid 19 pandemic across canada around world click li 
1507,president elect received first dose vaccine monday event br 
1508,pfizer sending tiktok_us instagram influencers vaccine genius finally fighting back 
1509,anyone know ingredient genuinely involved vaccinedonwant ashealthy young man 
1510,dick trust u upper arm easily 
1511,profvrr alandove thank much team edition unfortunately australia stupid 
1512,2020 ice cream 
1513,first shot protect keep family friend colleague neighbor p 
1514,grandad getting first part vaccine tomorrowgreat scientific achiev 
1515,hopefully first step putting behind u great service vaccine team setrust 
1516,wasngoing say anything anymore crossed path think twice 
1517,48 hour post covid vaccine pain arm goneam tired itbeenvery long day 4 30a 
1518,biden receives first dose coronavirus vaccine publicly 
1519,pfizer come give pfizer placebo participant vaccine 
1520,new rtenews 9clock ireland inthird wave pandemic people urged stay ho 
1521,president elect received first dose coronavirus vaccine monday afternoon 
1522,call itdeveloped oxford amp vaccine whe 
1523,get vaccine quickly immunity kick example get flu vaccine take 
1524,question house senate moved front vaccine line 
1525,owe big really joebiden give kudos frontline health worker including nurse practitioner 
1526,amymek naomirwolf wonder wanted protection liability itall taxpayer th 
1527,european uniondrug regulator approved coronavirus vaccine emergency use week af 
1528,woke right deltoid pain morning high psychosomatic resemblance im injectionve thinki 
1529,hannahthibedeau carolemacneil zchaglawhenreceive second dose 28 day 
1530,feeling fine 48 hour 
1531,89 year old man died raising death toll 96 revised 4 death 
1532,3500 arrive baptisthealthsf put freezer neg 20f top 
1533,coronavirus update pfizer biontech covid vaccine price via youtube 
1534,nhsuk thank nhsuk best christmas present ever 65 year old nh worker mum vaccinated today 
1535,first canget authorisation eur 
1536,report 4 new case ℹtotal 1 871 individual received first dose 
1537,european union approved coronavirus vaccine first inoculation start across 27 co 
1538,vaccine 95 effective based mrna similar mild side effect profile 
1539,eu approves biontech pfizer covid vaccine 
1540,health minister stephen donnelly said pfizer biontech covid 19 vaccine rolled 
1541,european commission grantedconditional marketing authorization cma vaccine 
1542,another serious question hospital worker fl receive vaccine fl wait ent 
1543,win letmake 
1544,aftervery busy weekve managed get back social medium whole feed full ofneed 
1545,moph covid 19 vaccination qatar start december 23 
1546,fn scar walther tous le jours fuck biontech freezecorleone 
1547,first shipment pfizer biontech arrived priority given healthca 
1548,full report vaccine approval europe new strain could already 
1549,please sign retweet thank 
1550,presentation approval today look likeremake vaccin pres 
1551,dr lisa wahlrab walsh 05 became one first receive covid 19 vaccine last week 
1552,vaccine protecting new uk covid variant answer yes according evercore 
1553,istill waiting someone say vaccine pfizer beyoncé 
1554,following ema_news recommendation released early today eu_commission grant marketing authorisation co 
1555,approves covid vaccine 
1556,two three member household officially vaccinated thankful 
1557,many u would balk acceptingcell line kidney ofholocaust victim even though injustice f 
1558,halfmillion people britain received first dose covid 19 vaccine 
1559,seeing post colleague u getting shot vaccine true 
1560,borisjohnson said 500 000 people hav vaccinated uk recd 800 000 dos vacc 
1561,approves covid vaccine 
1562,vaccine accomplished small pinch burn push within 2 minute orlandohealth vaccinat 
1563,eu watchdog approves 
1564,interesting interview john moore professor microbiology immunology cornell ajenglish uk appro 
1565,vaccine rollout u ispathetic failure dos promised moderna amp pfizer 
1566,varadkar ireland start slow catch covid vaccine record 
1567,stephen donnelly say arrival coronavirus vaccine isday hope newstalk 
1568,someone hacked vaccine get rekt 
1569,got call thatwill getting next week grhospitalkw feeling like 
1570,isnwilliam shakespeare due 2nd covid shot wherethe medium 
1571,one get vaccinated disease spread easily 
1572,belatedmas boxing day gift thank montefiorenyc scientist 
1573,well sent well received 
1574,day 3 post vaccine ask question get answer two 
1575,proud received vaccine today much comfortable wearing ppe day grateful l 
1576,dondrop 
1577,reverse engineering source code biontech pfizer sars cov 2 vaccine article 
1578,businessinsider maga using political master taking 
1579,u israeli connection word vaccine whatmeant say 
1580,thepoliticalin6 abc dotrust 8 day agoreceived next 
1581,surtegteborg1 ifwas vulnerable choice based data dated want vaccine 
1582,looking forward receiving pfizer biontech covid 19 vaccine monday morning ospniguarda 
1583,turn return favor spending whole day vaccinating wustlmed barnesjewish employee 
1584,transfer first shipment vaccine dohsocial 
1585,covid 19 book appointment pfizer biontech vaccine vaccine available six h 
1586,comparing vaccine 
1587,attime already used 4 mass inoculation country poor 
1588,central drug standard control organisation evaluate oxfordvaccine emergency use 
1589,summer 2020 exponentially spreading declined several offer procure million addit 
1590,grateful never super excited go hospital ho 
1591,nice comparison 
1592,country part gavi vaccine alliance oversees covax unglobal vaccine access mecha 
1593,first vaccine arrived poland late friday prime minister mateusz mor 
1594,responsible 2020 
1595,first dos reach 
1596,charlyf_81 happy boxing day usually day finn meet friend go movie etc today 
1597,first batch arrive 
1598,first shipment pfizer covid 19 vaccine reach france saturday vaccination first dose begin sunday 
1599,receive 4 5 million dos next 12 week vaccina 
1600,rollout pfizer biontech covid 19 across europe way following approval monday european 
1601,taking delivery noon saturday first 10 000 th 
1602,foundbeautiful article via esteban thanks amazing workswill try 
1603,irish boy writes requestingvaccination santa receivesreply itsethe new 
1604,covid 19 coronavirus stay u next 10 year biontech ceo 
1605,guess call vaccine pro 
1606,area hospital pause vaccination following 
1607,mera number kab aayegaam already shivering 70 c 
1608,feeling mostly back normal day 2 post 
1609,miraculous result frontier modern biotechnology amp information technology entire dev 
1610,95 effective pfizer vaccine rolled dubai resident starting today free cost 
1611,tony blair makesgood point one shot everyone curb pandemic 
1612,singapore december 30 became first asian country begin vaccination programme pfizer biontechc 
1613,three size available etsy shop 
1614,explainer covid 19 vaccine race 
1615,finally started eu truly historic bringing hope relief million peop 
1616,bmw m4 gt4 biontech 63 construction save little behind thegranturismo 
1617,go go go 
1618,fellow doc science nerdssunday morning vaccine cheer gim anaaawhatthat 
1619,sunday officially started rolling outmass vaccination campaign camp 
1620,comparison pose question shouldnuse itcapacity produce vaccine 
1621,vonderleyen love lost 
1622,ellesnifé hey take easy respire calmement 
1623,statedept realdonaldtrump today arrived covid19 vaccine italy thanks president trump gi 
1624,full day afterhad received vaccine well arm soreness 
1625,donwant rattle unwavering confidence butmust say 
1626,light hearted funknow someone took 
1627,excitement kid waiting santa come went sleep early woke alar 
1628,begin 
1629,covid 19 vaccination part 1 done 
1630,please circulate false rumor wildly around social medium online discussion group thatnurse died afte 
1631,signed 18 million deal 1 5 million dos expected february agreemen 
1632,done thankful 
1633,newsreader 11 00 announced europe starting administration coronavirus word omitted 
1634,happy day across begin roll vaccination 
1635,one shot attime 
1636,95 new 
1637,country six million people signed 18 million agreement 
1638,sunday morning officially began roll vaccine targeting pensioner 
1639,took delivery offirst batch vaccine saturday first vac 
1640,oman sunday launched coronavirus vaccination programme excellency dr ahmed al saidi minister 
1641,approved vaccine december andsite set people wishing vaccin 
1642,eu launch vaccine rollout across bloc 
1643,vaccinated thank saudimoh 
1644,101 year old woman first germany receive pfizer biontech vaccine coronavirus 
1645,concern raised unfairly attacked 
1646,non disclosure agreement iscontract thusbreach confidentiality amount tobreach 
1647,alanbixter drajm njbbari3 devisridhar youarelobbylud fda tgagovau asconsumerwould like informed 
1648,super grateful receivedtodayencourage everyone 
1649,covid 19 book appointment pfizer biontech vaccine vaccine available six h 
1650,101 year old woman elderly care home became first person inoculated 
1651,registered nurse nashville tn taking sars cov 2 vaccine via youtube 
1652,got vaccine early morning december 24th 
1653,one news 
1654,bill gate amp walter white breaking gate painting alejandro via youtube 
1655,word canexpress gratefulam made covid vaccine possible looking forward 
1656,dailymailuk whiletrust thewould never trust oxford seen kind moronic twa 
1657,hamilton psw suffers rare severe reaction vaccine psw suffered seizure forbrief 
1658,ceo woneven take vaccine guy still blind 
1659,people aged 70 get vaccine starting february 
1660,heavily recommended simplified clear explanation sars cov 2 vaccine 
1661,france administeredfirst dose vaccine tototal 50 people zero missingp 
1662,flahault zeclint well check page 132 covid19 vaccine protocol highly recommend woman 
1663,side side comparison pfizer biontech moderna vaccine 
1664,twittervers havetaken pfizer moderna vaccine amp least three day since wud pl 
1665,vaccine inbottle containing 5 dos need prepared healthcare personnel remixing 
1666,getting covid 19 vaccine stand waiting line drmarcsiegel 
1667,first person receive vaccine share mean 
1668,german madehuge mistake worldenglish 
1669,lebanon reserving nearly 2 million dos fight amount cover 
1670,quindi che caxxo li famofa hence fcuk get jab 
1671,one best christmas giftsve ever received part weekend protect family friend patient 
1672,pfizer biontech vaccine delivery spain delayed via daily_states 
1673,received 1st dose vaccine part first healthcare provider vaccinati 
1674,constantly recieving question isuseful sheet 
1675,got pfizer vaccine side effect via youtube 
1676,getting vaccinated 
1677,got dad take incredibly lucky get opportunity vulnerable member 
1678,feel likehistoric victory medical science hoping vaccine becomes available soon everyone around 
1679,drtedros led 
1680,2 shot today 1 pfizer biontech covid 19 vaccine followed julio 1942 shot 
1681,75 year old man beit shean died monday morning cardiac arrest 2 hour receiving 
1682,dose 1 vaccine complete 
1683,dr mia taormina infection prevention expert got 
1684,tracking coronavirus vaccine state state 
1685,happy mother getting yesterday thank dha_dubai 
1686,health professional elderly first get vaccinated country coming week 
1687,pfizer ceo albert bourla yet take coronavirus vaccine developed company along biontech sa 
1688,cv 19 ingrediants lethal injection killing death row inmate 
1689,spainhealth minister said country facingdelay infresh delivery vacc 
1690,cool thingsdidnknow vaccine read full article 
1691,davidkingtheo potus vp secpompeo pfizer vonderleyen davidsassoli pontifex un un4indigenous oxfam msf 
1692,delay supply issue looming every state rollout messy united st 
1693,vaccine prevent death given patient admitted hospital 
1694,delivery 8 european nation postponed question assurance 
1695,bashirahmaad come beholdest thou thine prophecy it4 year counting training commenced w 
1696,first dose 
1697,move fast medic 2270 medical worker vaccinated already 1st day sunday thnx hard 
1698,wonder vaccinated people belgium germany country asked fillsimilar form prior get 
1699,maxichijioke hatred ifmay ask said true buhari wassoutherner every death 
1700,bhd ready efficiently distribute expected ready 
1701,absolutely correct cleric one exempted belief worldview side evil evil lead 
1702,journ 
1703,incredibly grateful scientist developed covid19 vaccine giant whose shoulder stoo 
1704,erictopol andrewwsteele astrazeneca uniofoxford 10 million 3rd vaccine pro 
1705,reverse engineering source code vaccine 
1706,received first dose covid 19 vaccine 
1707,non molecular biologist geek isvery good detailed analysis mrna f 
1708,mrna went fromscientific backwater topandemic crusher 
1709,discussing withfriend human cell express spike antigen 
1710,justintrudeau sex worker need prioritized moderna_tx amp pfizer isintersecti 
1711,delivered ー 19 6 month waiting vaccine 
1712,done first dose covid 19 vaccine 
1713,couldnagree well put joydeep joydeepgrover 
1714,reason donworry polio measles diphteria tetanus pertussis rubella measles amp pathogen beca 
1715,germany started covid vaccination 
1716,want tell thatvaccine stored 70stays stable soon take 
1717,french demonstratong cohones unlike ge 
1718,lebanon get first vaccine february 
1719,istill unsure whether notwill vaccine 
1720,order priority vaccine c19 
1721,vaccination started berlin brandenburg hopefullybetter 2021 
1722,money shot 
1723,havenyou submitted covid vaccine president republic brazil sai 
1724,treat vaccine design order manufacture 
1725,biontechneed twice modernaonce difference existe 
1726,lethope evidenced based politics based medicine without medical staff access da 
1727,european union rolled pfizer biontech vaccine another vaccine could see approval 
1728,late coronavirus pandemic vaccine 
1729,president klausiohannis said romania would donate 200 000 dos vaccine r 
1730,buy extra 100 million dos 
1731,asfrontline workerdecided protect family coworkers nonetheless patient getting 
1732,october 2020 started vaccine trial south african fda approval south 
1733,48 hour 1st dose vaccine side effect wassore arm wouldnhave 
1734,booked get covid 19 vaccine tomorrow teamqeh excited nervous overwhelmed mixed emotion whatyear 
1735,today healing contest v fight 
1736,igrateful healthcare worker around globe uabmedicine keeping u healthy safe 
1737,simonbradley8 phe_uk donthink think accepting le stringency exact 21d booster p 
1738,pmspokesman said uk recd 25 dec 22 new delivery however 
1739,welcome flexibility recommended 21 day interval two 
1740,india providing emergency approval vacc already administered many cou 
1741,frontline worker covid 19 blood sample todayreceived first shot covid 19 vaccine pfizer biontech 
1742,side effect test result first look promising encouraging 
1743,oxford astrazeneca moderna pfizer biontech novavax johnson amp johnson time include kid age 2 12 v 
1744,ok round one good anti covid19 science juice 19th second thanks 
1745,vonderleyen pfizer could stop 
1746,collated response commonly asked question 
1747,multiple dose vial contains 0 45 ml 1 8 ml 0 9 sodium chloride injection usp 
1748,appointment booked people letend pandemic 
1749,whathistoric moment annie lynch liberty dublin becomes first person republic ir 
1750,confidence science prayer 
1751,andhadreal fear one handhave use 
1752,didnhappen post right grateful uvahealthnews across world 
1753,right 1 methyl 3 pseudouridine mrna aft 
1754,congressmanraja 
1755,79 year old patient named annie liberty first receive vaccine republic ir 
1756,vaccine assessed mhragovuk 
1757,endrifuga rama pay tribute soros american way soros weak v 
1758,work breakout performance 
1759,indeed dr katalin karikó deserves unfortunately vaccination using 
1760,plan 70 per cent population end 2021 achieve herd immunity mass shot 
1761,grateful vaccine uclhhad covid 4 week ago 
1762,mayoroflondon tested traditional vaccine might tested vaccinedonknow ar 
1763,news first jab recipient margaret keenansecond injection three week first jab 8th december 
1764,people doubt efficacy according expert urging 
1765,like therelight end tunnel 
1766,resident queue receive 
1767,belgium pm nationwide tv accusing english authority lie used population guinea pig 
1768,study london school hygiene tropical medicine concluded must vaccinate two 
1769,chairwoman steering committee vaccination say gulf emirate plan inoculate 70 pop 
1770,vaccine overdose 4 admitted hospital germany 
1771,think 
1772,ifremember correctly vaccine developed turk yet opts sell 
1773,adding really say thattook mine xmas soam aboutweek andfe 
1774,83 850 dos land 
1775,vaccine death loading 
1776,gene editing article 
1777,jordan get 1 mln pfizer covid 19 vaccine dos health minister 
1778,le programme kushi baby de via youtube 
1779,nurse fainted dead watch 6 minute 
1780,business donbelieve 
1781,nurse fainted dead watch 6 minute 
1782,first vaccination bag last night belfasttrust 
1783,answer question visa eligibility lie ahead coming 
1784,bye spike pfizerinc cdcgov fda 
1785,accidental disclosure msm interview unlikely completely sterilizepopulation 
1786,live dubai wantcovid vaccination read 
1787,rusembau sputnikvaccine mfa_russia embrusiaenarges please option sputnikin 
1788,dcharabaty mchiorean4 moss_md ibd_afzali mregueiromd edwardloftus2 dr_fcalderaibd mondaynightibd abbvie 
1789,1 premier mort vaccinel arn en israel 
1790,moderna vaccine safe allergic reaction side effect via youtube 
1791,instead waiting allow parent 80to get vaccinated n 
1792,doctor truly belief work first test others 
1793,health minister stephen donnelly said planned working living ireland580 nursing home 
1794,death voluntary lethal injection thanks 
1795,justice minister helen mcentee said government anticipate everyone va 
1796,poliscibitchesthink crop duster might begood startegy wonder pharma make happen 
1797,brilliant news vaccine approved along ne 
1798,hope 
1799,nurse test positive despite receiving meanshave 
